Buyer_Acronym,Buyer_ParentState,Buyer_WBESParentStateAcronym,Seller_Acronym,Seller_ParentState,Seller_WBESParentStateAcronym,Trader_Acronym,Trader_ParentState,Trader_WBESParentStateAcronym,ScheduleName,ScheduleSubTypeName,ScheduleAmount,BuyerAmount,SellerAmount,PocInjectionLoss,PocDrawalLoss,StateInjectionLoss,StateDrawalLoss,DiscomInjectionLoss,DiscomDrawalLoss,LinkName,OffBarTotal,OffBarAllocatedFromPool
TSTRANSCO,TELANGANA,TELANGANA_State,NLCIIST2,,,,,,ISGS,ISGS,2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.24~2.24~2.24~2.24~2.24~2.20~2.20~2.20~2.20~2.20~2.20~2.20~2.20~2.20~2.20~2.20~2.23~2.24~2.31~2.31~2.31~2.31~2.31~2.31~2.31~2.31~2.31~2.31~2.22~2.22~2.22~2.22~2.22~2.22~2.22~2.22~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.24~2.24~2.24~2.19~2.19~2.19~2.19~2.19,2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.15~2.15~2.15~2.15~2.15~2.11~2.11~2.11~2.11~2.11~2.11~2.11~2.11~2.11~2.11~2.11~2.14~2.15~2.21~2.21~2.21~2.21~2.21~2.21~2.21~2.21~2.21~2.21~2.13~2.13~2.13~2.13~2.13~2.13~2.13~2.13~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.09~2.15~2.15~2.15~2.10~2.10~2.10~2.10~2.10,2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.24~2.24~2.24~2.24~2.24~2.20~2.20~2.20~2.20~2.20~2.20~2.20~2.20~2.20~2.20~2.20~2.23~2.24~2.31~2.31~2.31~2.31~2.31~2.31~2.31~2.31~2.31~2.31~2.22~2.22~2.22~2.22~2.22~2.22~2.22~2.22~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.18~2.24~2.24~2.24~2.19~2.19~2.19~2.19~2.19,0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00,0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.10~0.10~0.10~0.10~0.10~0.10~0.10~0.10~0.10~0.10~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09~0.09,0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00,0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00,0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00,0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00,South-South,0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0,0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0
KPTCL,KARNATAKA,KARNATAKA_STATE,KKNP,,,,,,ISGS,ISGS,212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16,203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29~203.29,212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16~212.16,0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00,8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87~8.87,0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00,0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00,0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00,0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00,South-South,0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00,
TNEB,"TAMIL NADU",TAMILNADU_State,KKNP,,,,,,ISGS,ISGS,551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52,528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47~528.47,551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52~551.52,0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00,23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05~23.05,0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00,0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00,0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00,0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00,South-South,0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00~0.00,
